"Species"	"GeneID"	"PrimaryTissue"	"tau"
"Danio_rerio"	"ENSDARG00000001470"	"ovary"	0.507109559672179
"Danio_rerio"	"ENSDARG00000001498"	"testis"	0.564559618388748
"Danio_rerio"	"ENSDARG00000001549"	"ovary"	0.605836121408961
"Danio_rerio"	"ENSDARG00000001557"	"muscle"	0.209278742427385
"Danio_rerio"	"ENSDARG00000001558"	"ovary"	0.620481989592003
"Danio_rerio"	"ENSDARG00000001559"	"brain"	0.765284978652221
"Danio_rerio"	"ENSDARG00000001578"	"heart"	0.204946314752492
"Danio_rerio"	"ENSDARG00000001621"	"ovary"	0.527786741157738
"Danio_rerio"	"ENSDARG00000001634"	"brain"	0.266668877611759
"Danio_rerio"	"ENSDARG00000001656"	"intestine"	0.42090645506165
"Danio_rerio"	"ENSDARG00000001676"	"brain"	0.546018769965849
"Danio_rerio"	"ENSDARG00000001686"	"eye"	0.863342295064843
"Danio_rerio"	"ENSDARG00000001710"	"brain"	0.589411830173683
"Danio_rerio"	"ENSDARG00000001712"	"heart"	0.798931752986806
"Danio_rerio"	"ENSDARG00000001721"	"testis"	0.831078917519646
"Danio_rerio"	"ENSDARG00000001729"	"muscle"	0.121259633293188
"Danio_rerio"	"ENSDARG00000001733"	"eye"	0.31936927172088
"Danio_rerio"	"ENSDARG00000001734"	"testis"	0.140364680594736
"Danio_rerio"	"ENSDARG00000001754"	"ovary"	0.286259681865596
"Danio_rerio"	"ENSDARG00000001760"	"eye"	0.835891409108937
"Danio_rerio"	"ENSDARG00000001767"	"ovary"	0.600219932048642
"Danio_rerio"	"ENSDARG00000001769"	"muscle"	0.379571261826121
"Danio_rerio"	"ENSDARG00000001776"	"ovary"	0.566532491281346
"Danio_rerio"	"ENSDARG00000001777"	"ovary"	0.543095265631205
"Danio_rerio"	"ENSDARG00000001782"	"gills"	0.583888551697207
"Danio_rerio"	"ENSDARG00000001785"	"heart"	0.6743494879882
"Danio_rerio"	"ENSDARG00000001788"	"heart"	0.199038082705372
"Danio_rerio"	"ENSDARG00000001803"	"heart"	0.669536806648411
"Danio_rerio"	"ENSDARG00000001804"	"liver"	0.334909684361216
"Danio_rerio"	"ENSDARG00000001807"	"brain"	0.294226696604676
"Danio_rerio"	"ENSDARG00000001818"	"liver"	0.870613962519386
"Danio_rerio"	"ENSDARG00000001825"	"testis"	0.824830807490507
"Danio_rerio"	"ENSDARG00000001829"	"ovary"	0.163673957093607
"Danio_rerio"	"ENSDARG00000001835"	"testis"	0.824595046937895
"Danio_rerio"	"ENSDARG00000001857"	"gills"	0.487703025419486
"Danio_rerio"	"ENSDARG00000001859"	"brain"	0.764299990722802
"Danio_rerio"	"ENSDARG00000001870"	"intestine"	0.637138582028652
"Danio_rerio"	"ENSDARG00000001873"	"ovary"	0.450813754381567
"Danio_rerio"	"ENSDARG00000001879"	"liver"	0.304568644115617
"Danio_rerio"	"ENSDARG00000001880"	"eye"	0.313084040774105
"Danio_rerio"	"ENSDARG00000001881"	"brain"	0.925247486264616
"Danio_rerio"	"ENSDARG00000001882"	"muscle"	0.820294581275672
"Danio_rerio"	"ENSDARG00000001888"	"testis"	0.408507699702994
"Danio_rerio"	"ENSDARG00000001889"	"brain"	0.449607070296221
"Danio_rerio"	"ENSDARG00000001890"	"liver"	0.14904209734056
"Danio_rerio"	"ENSDARG00000001891"	"eye"	0.830950591384808
"Danio_rerio"	"ENSDARG00000001897"	"intestine"	0.346029061424012
"Danio_rerio"	"ENSDARG00000001898"	"liver"	0.311106494833302
"Danio_rerio"	"ENSDARG00000001906"	"eye"	0.6103004178842
"Danio_rerio"	"ENSDARG00000001909"	"eye"	0.83322094023564
"Danio_rerio"	"ENSDARG00000001910"	"eye"	0.357830811853663
"Danio_rerio"	"ENSDARG00000001912"	"brain"	0.845654912401258
"Danio_rerio"	"ENSDARG00000001913"	"eye"	0.78440212894656
"Danio_rerio"	"ENSDARG00000001929"	"muscle"	0.316063345813009
"Danio_rerio"	"ENSDARG00000001930"	"ovary"	0.296757146750742
"Danio_rerio"	"ENSDARG00000001939"	"brain"	0.244713693446726
"Danio_rerio"	"ENSDARG00000001940"	"muscle"	0.196900894846788
"Danio_rerio"	"ENSDARG00000001950"	"muscle"	0.408802707002412
"Danio_rerio"	"ENSDARG00000001953"	"intestine"	0.38026137910108
"Danio_rerio"	"ENSDARG00000001968"	"ovary"	0.628933521034067
"Danio_rerio"	"ENSDARG00000001969"	"ovary"	0.422190167652703
"Danio_rerio"	"ENSDARG00000001975"	"heart"	0.273918773729212
"Danio_rerio"	"ENSDARG00000001976"	"eye"	0.774951583428705
"Danio_rerio"	"ENSDARG00000001993"	"gills"	0.560103510999839
"Danio_rerio"	"ENSDARG00000001994"	"brain"	0.54593180576774
"Danio_rerio"	"ENSDARG00000001999"	"eye"	0.839059033193258
"Danio_rerio"	"ENSDARG00000002002"	"heart"	0.397327082076168
"Danio_rerio"	"ENSDARG00000002006"	"muscle"	0.118536571278429
"Danio_rerio"	"ENSDARG00000002013"	"heart"	0.387680277554112
"Danio_rerio"	"ENSDARG00000002016"	"ovary"	0.401017903753122
"Danio_rerio"	"ENSDARG00000002020"	"brain"	0.315385922926044
"Danio_rerio"	"ENSDARG00000002021"	"ovary"	0.740724587170774
"Danio_rerio"	"ENSDARG00000002026"	"brain"	0.950044676595676
"Danio_rerio"	"ENSDARG00000002031"	"ovary"	0.420383873834091
"Danio_rerio"	"ENSDARG00000002037"	"brain"	0.370357521224275
"Danio_rerio"	"ENSDARG00000002060"	"ovary"	0.720082366214036
"Danio_rerio"	"ENSDARG00000002071"	"muscle"	0.70682563702715
"Danio_rerio"	"ENSDARG00000002077"	"ovary"	0.400650802380633
"Danio_rerio"	"ENSDARG00000002082"	"testis"	0.292638456830247
"Danio_rerio"	"ENSDARG00000002084"	"heart"	0.816877838162195
"Danio_rerio"	"ENSDARG00000002127"	"ovary"	0.229542223817548
"Danio_rerio"	"ENSDARG00000002128"	"ovary"	0.335497894213311
"Danio_rerio"	"ENSDARG00000002131"	"brain"	0.459927129631272
"Danio_rerio"	"ENSDARG00000002165"	"gills"	0.201551808174513
"Danio_rerio"	"ENSDARG00000002167"	"testis"	0.833223856148584
"Danio_rerio"	"ENSDARG00000002168"	"ovary"	0.261104370368462
"Danio_rerio"	"ENSDARG00000002172"	"brain"	0.52576545170235
"Danio_rerio"	"ENSDARG00000002174"	"ovary"	0.359401879716211
"Danio_rerio"	"ENSDARG00000002184"	"ovary"	0.275831941724524
"Danio_rerio"	"ENSDARG00000002190"	"ovary"	0.113985900946844
"Danio_rerio"	"ENSDARG00000002192"	"pectoral_fin"	0.735022734285438
"Danio_rerio"	"ENSDARG00000002193"	"eye"	0.403216675568364
"Danio_rerio"	"ENSDARG00000002194"	"heart"	0.712319716040848
"Danio_rerio"	"ENSDARG00000002196"	"gills"	0.373015868400772
"Danio_rerio"	"ENSDARG00000002197"	"liver"	0.594053415684846
"Danio_rerio"	"ENSDARG00000002204"	"heart"	0.666062146458677
"Danio_rerio"	"ENSDARG00000002210"	"brain"	0.352525988438191
"Danio_rerio"	"ENSDARG00000002213"	"liver"	0.295044119391009
"Danio_rerio"	"ENSDARG00000002215"	"ovary"	0.179585551272415
"Danio_rerio"	"ENSDARG00000002216"	"eye"	0.594657891544093
"Danio_rerio"	"ENSDARG00000002217"	"brain"	0.447518207293008
"Danio_rerio"	"ENSDARG00000002219"	"brain"	0.877532009554903
"Danio_rerio"	"ENSDARG00000002220"	"ovary"	0.271186931139497
"Danio_rerio"	"ENSDARG00000002230"	"brain"	0.525795378799494
"Danio_rerio"	"ENSDARG00000002235"	"pectoral_fin"	0.395673759429817
"Danio_rerio"	"ENSDARG00000002240"	"ovary"	0.0581069940367602
"Danio_rerio"	"ENSDARG00000002249"	"liver"	0.291082698859581
"Danio_rerio"	"ENSDARG00000002255"	"brain"	0.531045711671073
"Danio_rerio"	"ENSDARG00000002259"	"gills"	0.811701111304784
"Danio_rerio"	"ENSDARG00000002264"	"heart"	0.188410651708287
"Danio_rerio"	"ENSDARG00000002267"	"ovary"	0.335646851064564
"Danio_rerio"	"ENSDARG00000002271"	"ovary"	0.283032555452996
"Danio_rerio"	"ENSDARG00000002285"	"ovary"	0.335695973517988
"Danio_rerio"	"ENSDARG00000002293"	"pectoral_fin"	0.814399437276543
"Danio_rerio"	"ENSDARG00000002298"	"ovary"	0.471462826610611
"Danio_rerio"	"ENSDARG00000002299"	"testis"	0.843667390022322
"Danio_rerio"	"ENSDARG00000002300"	"eye"	0.45493292033687
"Danio_rerio"	"ENSDARG00000002304"	"ovary"	0.591828106006778
"Danio_rerio"	"ENSDARG00000002305"	"muscle"	0.201469231573118
"Danio_rerio"	"ENSDARG00000002311"	"eye"	0.94477135750093
"Danio_rerio"	"ENSDARG00000002330"	"ovary"	0.68709324251555
"Danio_rerio"	"ENSDARG00000002332"	"ovary"	0.280733061543813
"Danio_rerio"	"ENSDARG00000002333"	"brain"	0.51710183220334
"Danio_rerio"	"ENSDARG00000002336"	"gills"	0.425954108917434
"Danio_rerio"	"ENSDARG00000002339"	"ovary"	0.442008990717484
"Danio_rerio"	"ENSDARG00000002344"	"ovary"	0.0651994495873533
"Danio_rerio"	"ENSDARG00000002347"	"ovary"	0.766912198653885
"Danio_rerio"	"ENSDARG00000002353"	"gills"	0.581441534510951
"Danio_rerio"	"ENSDARG00000002362"	"brain"	0.192045409626007
"Danio_rerio"	"ENSDARG00000002365"	"intestine"	0.250119287450028
"Danio_rerio"	"ENSDARG00000002369"	"heart"	0.131357675830348
"Danio_rerio"	"ENSDARG00000002377"	"ovary"	0.505157344919461
"Danio_rerio"	"ENSDARG00000002385"	"testis"	0.343968472360949
"Danio_rerio"	"ENSDARG00000002391"	"pectoral_fin"	0.567174860433726
"Danio_rerio"	"ENSDARG00000002394"	"liver"	0.862557313330598
"Danio_rerio"	"ENSDARG00000002396"	"ovary"	0.505271787635744
"Danio_rerio"	"ENSDARG00000002401"	"intestine"	0.382102851497253
"Danio_rerio"	"ENSDARG00000002402"	"testis"	0.382829076747761
"Danio_rerio"	"ENSDARG00000002403"	"testis"	0.608683378739594
"Danio_rerio"	"ENSDARG00000002405"	"eye"	0.326707209180247
"Danio_rerio"	"ENSDARG00000002406"	"testis"	0.969891323423416
"Danio_rerio"	"ENSDARG00000002411"	"intestine"	0.698433922532381
"Danio_rerio"	"ENSDARG00000002445"	"gills"	0.546318197156825
"Danio_rerio"	"ENSDARG00000002467"	"brain"	0.221375160318953
"Danio_rerio"	"ENSDARG00000002479"	"ovary"	0.596124598725276
"Danio_rerio"	"ENSDARG00000002487"	"ovary"	0.268982687810592
"Danio_rerio"	"ENSDARG00000002494"	"pectoral_fin"	0.475989294997723
"Danio_rerio"	"ENSDARG00000002506"	"ovary"	0.260863991552489
