"VarCategory"	"GOBPID"	"Term"	"MeanPvalue"	"NConditions"	"EnrichmentTest"	"TestDirection"
"LV"	"GO:0006325"	"chromatin organization"	0.00260249807001723	6	"GOStats"	"enrichment"
"LV"	"GO:0006337"	"nucleosome disassembly"	0.00738544299258829	1	"GOStats"	"enrichment"
"LV"	"GO:0006338"	"chromatin remodeling"	0.00535766462824341	1	"GOStats"	"enrichment"
"LV"	"GO:0006351"	"transcription, DNA-templated"	0.00463351613200668	1	"GOStats"	"enrichment"
"LV"	"GO:0006352"	"DNA-templated transcription, initiation"	0.00891868330286997	1	"GOStats"	"enrichment"
"LV"	"GO:0006355"	"regulation of transcription, DNA-templated"	0.00783888402747391	2	"GOStats"	"enrichment"
"LV"	"GO:0006367"	"transcription initiation from RNA polymerase II promoter"	0.00716466442457567	3	"GOStats"	"enrichment"
"LV"	"GO:0006368"	"transcription elongation from RNA polymerase II promoter"	0.00614487144669476	2	"GOStats"	"enrichment"
"LV"	"GO:0006370"	"7-methylguanosine mRNA capping"	0.00354954024970783	1	"GOStats"	"enrichment"
"LV"	"GO:0006378"	"mRNA polyadenylation"	0.000637510526958722	2	"GOStats"	"enrichment"
"LV"	"GO:0006382"	"adenosine to inosine editing"	0.00686331382864803	1	"GOStats"	"enrichment"
"LV"	"GO:0006383"	"transcription by RNA polymerase III"	0.00857683449553765	1	"GOStats"	"enrichment"
"LV"	"GO:0006396"	"RNA processing"	0.00133369490549946	6	"GOStats"	"enrichment"
"LV"	"GO:0006397"	"mRNA processing"	0.0049794343246755	2	"GOStats"	"enrichment"
"LV"	"GO:0006403"	"RNA localization"	0.00231881141164059	1	"GOStats"	"enrichment"
"LV"	"GO:0006405"	"RNA export from nucleus"	0.00163768740532488	1	"GOStats"	"enrichment"
"LV"	"GO:0006406"	"mRNA export from nucleus"	0.00598941184948757	1	"GOStats"	"enrichment"
"LV"	"GO:0006412"	"translation"	0.00197142548538522	1	"GOStats"	"enrichment"
"LV"	"GO:0006413"	"translational initiation"	0.00550992117207367	2	"GOStats"	"enrichment"
"LV"	"GO:0006417"	"regulation of translation"	0.000146264629894609	1	"GOStats"	"enrichment"
"LV"	"GO:0006464"	"cellular protein modification process"	0.00335418940138223	10	"GOStats"	"enrichment"
"LV"	"GO:0006468"	"protein phosphorylation"	0.00735646748044653	1	"GOStats"	"enrichment"
"LV"	"GO:0006470"	"protein dephosphorylation"	0.00468482709522648	1	"GOStats"	"enrichment"
"LV"	"GO:0006474"	"N-terminal protein amino acid acetylation"	0.00576136257945563	1	"GOStats"	"enrichment"
"LV"	"GO:0006479"	"protein methylation"	0.00528377021706635	1	"GOStats"	"enrichment"
"LV"	"GO:0006487"	"protein N-linked glycosylation"	0.00433588795731978	1	"GOStats"	"enrichment"
"LV"	"GO:0006490"	"oligosaccharide-lipid intermediate biosynthetic process"	0.00247545966748945	1	"GOStats"	"enrichment"
"LV"	"GO:0006493"	"protein O-linked glycosylation"	0.00970359802454207	1	"GOStats"	"enrichment"
"LV"	"GO:0006506"	"GPI anchor biosynthetic process"	0.00306294513918884	3	"GOStats"	"enrichment"
