Gene name	Gene stable ID	Gene type
	ENSLOCG00000000155	protein_coding
	ENSLOCG00000000156	protein_coding
	ENSLOCG00000000157	protein_coding
	ENSLOCG00000000158	protein_coding
	ENSLOCG00000000159	protein_coding
slc30a7	ENSLOCG00000000160	protein_coding
	ENSLOCG00000000161	protein_coding
	ENSLOCG00000000162	protein_coding
	ENSLOCG00000000163	protein_coding
	ENSLOCG00000000164	protein_coding
	ENSLOCG00000000165	protein_coding
	ENSLOCG00000000166	protein_coding
	ENSLOCG00000000167	protein_coding
	ENSLOCG00000000168	protein_coding
	ENSLOCG00000000169	protein_coding
	ENSLOCG00000000170	protein_coding
	ENSLOCG00000000171	protein_coding
	ENSLOCG00000000172	protein_coding
	ENSLOCG00000000173	protein_coding
C1orf232	ENSLOCG00000000174	protein_coding
cacng6b	ENSLOCG00000000175	protein_coding
	ENSLOCG00000000176	protein_coding
	ENSLOCG00000000177	protein_coding
tbxa2r	ENSLOCG00000000178	protein_coding
	ENSLOCG00000000179	protein_coding
	ENSLOCG00000000180	protein_coding
	ENSLOCG00000000181	protein_coding
	ENSLOCG00000000182	protein_coding
	ENSLOCG00000000183	protein_coding
	ENSLOCG00000000184	protein_coding
	ENSLOCG00000000185	protein_coding
dph5	ENSLOCG00000000186	protein_coding
hmgb1b	ENSLOCG00000000187	protein_coding
	ENSLOCG00000000188	protein_coding
	ENSLOCG00000000189	protein_coding
	ENSLOCG00000000190	protein_coding
	ENSLOCG00000000191	protein_coding
	ENSLOCG00000000192	protein_coding
	ENSLOCG00000000193	protein_coding
unc119.2	ENSLOCG00000000194	protein_coding
	ENSLOCG00000000195	protein_coding
	ENSLOCG00000000196	protein_coding
gipc3	ENSLOCG00000000197	protein_coding
USPL1	ENSLOCG00000000198	protein_coding
	ENSLOCG00000000199	protein_coding
	ENSLOCG00000000200	protein_coding
	ENSLOCG00000000201	protein_coding
	ENSLOCG00000000202	protein_coding
	ENSLOCG00000000203	protein_coding
	ENSLOCG00000000204	protein_coding
	ENSLOCG00000000205	protein_coding
	ENSLOCG00000000206	protein_coding
	ENSLOCG00000000207	protein_coding
nelfe	ENSLOCG00000000208	protein_coding
zgc:110366	ENSLOCG00000000209	protein_coding
	ENSLOCG00000000210	protein_coding
	ENSLOCG00000000211	protein_coding
	ENSLOCG00000000212	protein_coding
	ENSLOCG00000000213	protein_coding
	ENSLOCG00000000214	protein_coding
	ENSLOCG00000000215	protein_coding
si:zfos-943e10.1	ENSLOCG00000000216	protein_coding
dnajc5b	ENSLOCG00000000217	protein_coding
	ENSLOCG00000000218	protein_coding
	ENSLOCG00000000219	protein_coding
cacng7a	ENSLOCG00000000220	protein_coding
	ENSLOCG00000000221	protein_coding
	ENSLOCG00000000222	protein_coding
	ENSLOCG00000000223	protein_coding
KCNK4	ENSLOCG00000000224	protein_coding
PRADC1	ENSLOCG00000000225	protein_coding
	ENSLOCG00000000226	protein_coding
	ENSLOCG00000000227	protein_coding
pnpla2	ENSLOCG00000000228	protein_coding
	ENSLOCG00000000229	protein_coding
	ENSLOCG00000000230	protein_coding
	ENSLOCG00000000231	protein_coding
