"GOID"	"Direction"	"TERM"	"ONTOLOGY"	"MeanPvalue"	"MeanFDR"	"NConditions"	"EnrichmentTest"
"GO:0033559"	"Up"	"unsaturated fatty acid metabolic process"	"BP"	6.32125290862139e-05	0.00477781365676634	1	"cameraPR"
"GO:0033692"	"Up"	"cellular polysaccharide biosynthetic process"	"BP"	9.9484982578294e-05	0.00591691011137788	1	"cameraPR"
"GO:0034097"	"Up"	"response to cytokine"	"BP"	0.00066901456612843	0.0253807203947556	2	"cameraPR"
"GO:0034308"	"Up"	"primary alcohol metabolic process"	"BP"	0.000211007144226118	0.0193055621973851	1	"cameraPR"
"GO:0034341"	"Up"	"response to interferon-gamma"	"BP"	0.000213154088059754	0.0141720248539365	5	"cameraPR"
"GO:0034637"	"Up"	"cellular carbohydrate biosynthetic process"	"BP"	4.82784838632002e-05	0.00354124208484725	1	"cameraPR"
"GO:0034706"	"Up"	"sodium channel complex"	"CC"	0.00028578637026885	0.0259208237833847	1	"cameraPR"
"GO:0034754"	"Up"	"cellular hormone metabolic process"	"BP"	0.000613537711479555	0.0307314307849632	1	"cameraPR"
"GO:0035025"	"Up"	"positive regulation of Rho protein signal transduction"	"BP"	0.000644134518112147	0.0365143754954823	1	"cameraPR"
"GO:0035036"	"Up"	"sperm-egg recognition"	"BP"	7.50587658213932e-05	0.00644413621480605	7	"cameraPR"
"GO:0035150"	"Up"	"regulation of tube size"	"BP"	8.33962790967093e-05	0.0189101062851788	1	"cameraPR"
"GO:0035296"	"Up"	"regulation of tube diameter"	"BP"	8.33962790967093e-05	0.0189101062851788	1	"cameraPR"
"GO:0035803"	"Up"	"egg coat formation"	"BP"	7.50587658213932e-05	0.00644413621480605	7	"cameraPR"
"GO:0036379"	"Up"	"myofilament"	"CC"	0.000136950491159481	0.00756000546695723	9	"cameraPR"
"GO:0040017"	"Up"	"positive regulation of locomotion"	"BP"	0.00125359479285554	0.0234435149921644	1	"cameraPR"
"GO:0042060"	"Up"	"wound healing"	"BP"	0.000482590375398938	0.0204723560836155	2	"cameraPR"
"GO:0042098"	"Up"	"T cell proliferation"	"BP"	0.000686075239818369	0.0204473470938674	2	"cameraPR"
"GO:0042129"	"Up"	"regulation of T cell proliferation"	"BP"	0.00118672964360822	0.0294221992903954	2	"cameraPR"
"GO:0042130"	"Up"	"negative regulation of T cell proliferation"	"BP"	0.00136601009225509	0.0244132247029628	1	"cameraPR"
"GO:0042273"	"Up"	"ribosomal large subunit biogenesis"	"BP"	3.25597645400652e-05	0.00843763041081119	1	"cameraPR"
"GO:0042330"	"Up"	"taxis"	"BP"	0.0039254647347914	0.0464182054701521	1	"cameraPR"
"GO:0042379"	"Up"	"chemokine receptor binding"	"MF"	3.32029522654765e-05	0.00468193093467968	8	"cameraPR"
"GO:0042446"	"Up"	"hormone biosynthetic process"	"BP"	4.18319419550383e-05	0.00753450056108478	1	"cameraPR"
"GO:0042493"	"Up"	"response to drug"	"BP"	0.000271622395195493	0.0126107143267622	3	"cameraPR"
"GO:0042611"	"Up"	"MHC protein complex"	"CC"	0.000393060325915812	0.0108113285839794	3	"cameraPR"
"GO:0042613"	"Up"	"MHC class II protein complex"	"CC"	0.000400913398206076	0.0113524042998685	3	"cameraPR"
"GO:0042632"	"Up"	"cholesterol homeostasis"	"BP"	0.000110120833799728	0.00596296097052855	1	"cameraPR"
"GO:0042737"	"Up"	"drug catabolic process"	"BP"	0.00021316018507161	0.0123660079800986	3	"cameraPR"
"GO:0042738"	"Up"	"exogenous drug catabolic process"	"BP"	0.00021316018507161	0.0123660079800986	3	"cameraPR"
"GO:0042742"	"Up"	"defense response to bacterium"	"BP"	0.00183578653349726	0.0300010519978742	1	"cameraPR"
"GO:0042743"	"Up"	"hydrogen peroxide metabolic process"	"BP"	0.000522229316555229	0.0400103758993773	1	"cameraPR"
"GO:0042773"	"Up"	"ATP synthesis coupled electron transport"	"BP"	0.000226912887789229	0.0395006161640885	1	"cameraPR"
"GO:0042775"	"Up"	"mitochondrial ATP synthesis coupled electron transport"	"BP"	5.90083600918998e-05	0.0189101062851788	1	"cameraPR"
"GO:0043062"	"Up"	"extracellular structure organization"	"BP"	0.00142159195021875	0.0381935042586916	3	"cameraPR"
"GO:0043186"	"Up"	"P granule"	"CC"	0.000188456713841379	0.0119840591557107	3	"cameraPR"
"GO:0043207"	"Up"	"response to external biotic stimulus"	"BP"	0.000460098297361443	0.015505629496834	4	"cameraPR"
"GO:0043292"	"Up"	"contractile fiber"	"CC"	9.48154169106074e-05	0.00948431005441511	9	"cameraPR"
"GO:0043408"	"Up"	"regulation of MAPK cascade"	"BP"	0.00199297898439276	0.0413305029441342	2	"cameraPR"
"GO:0043627"	"Up"	"response to estrogen"	"BP"	0.000176058902093472	0.0130428216540222	4	"cameraPR"
"GO:0043648"	"Up"	"dicarboxylic acid metabolic process"	"BP"	0.00101134341204658	0.0284430534798838	1	"cameraPR"
"GO:0044057"	"Up"	"regulation of system process"	"BP"	0.00064182984514204	0.0240197624892693	1	"cameraPR"
"GO:0044242"	"Up"	"cellular lipid catabolic process"	"BP"	3.17576727091227e-05	0.00256037414641549	1	"cameraPR"
"GO:0044282"	"Up"	"small molecule catabolic process"	"BP"	0.000679073726797128	0.0254821655383744	2	"cameraPR"
"GO:0044419"	"Up"	"biological process involved in interspecies interaction between organisms"	"BP"	0.000803038557965441	0.0223725305452879	4	"cameraPR"
"GO:0044703"	"Up"	"multi-organism reproductive process"	"BP"	7.30034252827603e-05	0.00616421714484441	3	"cameraPR"
"GO:0045087"	"Up"	"innate immune response"	"BP"	0.00148875886429874	0.0261575328894717	2	"cameraPR"
"GO:0045103"	"Up"	"intermediate filament-based process"	"BP"	0.000103804552864204	0.0129863075100459	1	"cameraPR"
"GO:0045104"	"Up"	"intermediate filament cytoskeleton organization"	"BP"	0.000103804552864204	0.0129863075100459	1	"cameraPR"
"GO:0045111"	"Up"	"intermediate filament cytoskeleton"	"CC"	0.000297737917176206	0.00942955319036001	1	"cameraPR"
"GO:0045132"	"Up"	"meiotic chromosome segregation"	"BP"	0.000919745810377823	0.0308966462967661	1	"cameraPR"
"GO:0045137"	"Up"	"development of primary sexual characteristics"	"BP"	0.000570225754955072	0.0220082876486915	1	"cameraPR"
"GO:0045216"	"Up"	"cell-cell junction organization"	"BP"	0.000976443744409351	0.0196807661373174	1	"cameraPR"
"GO:0045229"	"Up"	"external encapsulating structure organization"	"BP"	0.00142159195021875	0.0381935042586916	3	"cameraPR"
"GO:0045271"	"Up"	"respiratory chain complex I"	"CC"	0.000122674111120956	0.015377630629185	5	"cameraPR"
"GO:0045495"	"Up"	"pole plasm"	"CC"	2.52198611983624e-06	0.000365990625710635	1	"cameraPR"
"GO:0045499"	"Up"	"chemorepellent activity"	"MF"	0.00239239332050006	0.0341716652235205	1	"cameraPR"
"GO:0045861"	"Up"	"negative regulation of proteolysis"	"BP"	0.000881546193858298	0.0233885633494125	7	"cameraPR"
"GO:0046165"	"Up"	"alcohol biosynthetic process"	"BP"	0.000695770468523406	0.0344124302927309	2	"cameraPR"
"GO:0046395"	"Up"	"carboxylic acid catabolic process"	"BP"	0.00041025203366501	0.0201320015607646	2	"cameraPR"
"GO:0046466"	"Up"	"membrane lipid catabolic process"	"BP"	0.00250141984052172	0.049590990062365	1	"cameraPR"
"GO:0046514"	"Up"	"ceramide catabolic process"	"BP"	0.00023810678746458	0.0107981428115187	1	"cameraPR"
"GO:0046631"	"Up"	"alpha-beta T cell activation"	"BP"	0.00227963400979514	0.0336199682420194	1	"cameraPR"
"GO:0046651"	"Up"	"lymphocyte proliferation"	"BP"	0.000288910544435001	0.0109671640210041	2	"cameraPR"
"GO:0046660"	"Up"	"female sex differentiation"	"BP"	0.000765832506192206	0.0275093102224289	1	"cameraPR"
"GO:0046906"	"Up"	"tetrapyrrole binding"	"MF"	0.000117215270450331	0.0129711769368548	5	"cameraPR"
"GO:0046942"	"Up"	"carboxylic acid transport"	"BP"	0.000865032302354802	0.0257240753519936	1	"cameraPR"
"GO:0046943"	"Up"	"carboxylic acid transmembrane transporter activity"	"MF"	4.04052687802749e-05	0.00850994264735594	2	"cameraPR"
"GO:0048018"	"Up"	"receptor ligand activity"	"MF"	0.000199151331797452	0.0123633408616389	7	"cameraPR"
"GO:0048020"	"Up"	"CCR chemokine receptor binding"	"MF"	0.00036465963468416	0.0190078562075661	7	"cameraPR"
"GO:0048232"	"Up"	"male gamete generation"	"BP"	0.000184740066059811	0.00903900322933647	2	"cameraPR"
"GO:0048247"	"Up"	"lymphocyte chemotaxis"	"BP"	0.00047022397661888	0.02206945072153	6	"cameraPR"
"GO:0048477"	"Up"	"oogenesis"	"BP"	0.000172343689289446	0.00776576381071388	4	"cameraPR"
"GO:0048599"	"Up"	"oocyte development"	"BP"	7.77687684375544e-05	0.00419117196408295	2	"cameraPR"
"GO:0048609"	"Up"	"multicellular organismal reproductive process"	"BP"	2.06892734822161e-05	0.00270329613305539	3	"cameraPR"
"GO:0048841"	"Up"	"regulation of axon extension involved in axon guidance"	"BP"	0.00180274980222591	0.029857879788432	1	"cameraPR"
"GO:0050670"	"Up"	"regulation of lymphocyte proliferation"	"BP"	0.000441453518515204	0.015486951717459	2	"cameraPR"
"GO:0050672"	"Up"	"negative regulation of lymphocyte proliferation"	"BP"	0.000451180102589417	0.0120358927367236	1	"cameraPR"
"GO:0050679"	"Up"	"positive regulation of epithelial cell proliferation"	"BP"	0.00135932178634776	0.0244132247029628	1	"cameraPR"
"GO:0050776"	"Up"	"regulation of immune response"	"BP"	1.66401861399115e-05	0.00152077554767559	3	"cameraPR"
"GO:0050778"	"Up"	"positive regulation of immune response"	"BP"	1.2285487533264e-05	0.00121756283202052	3	"cameraPR"
"GO:0050817"	"Up"	"coagulation"	"BP"	0.00109838988861542	0.0206641402444985	3	"cameraPR"
"GO:0050829"	"Up"	"defense response to Gram-negative bacterium"	"BP"	0.000480501576870683	0.013899766769512	2	"cameraPR"
"GO:0050851"	"Up"	"antigen receptor-mediated signaling pathway"	"BP"	0.00173781952803807	0.0289363469309326	1	"cameraPR"
"GO:0050852"	"Up"	"T cell receptor signaling pathway"	"BP"	0.00140433105472417	0.0249750640516633	1	"cameraPR"
"GO:0050863"	"Up"	"regulation of T cell activation"	"BP"	0.0012625317851301	0.023489565725395	1	"cameraPR"
"GO:0050866"	"Up"	"negative regulation of cell activation"	"BP"	3.24331846529381e-05	0.00213941079856108	1	"cameraPR"
"GO:0050868"	"Up"	"negative regulation of T cell activation"	"BP"	0.0001166930446393	0.00494898176966793	1	"cameraPR"
"GO:0050878"	"Up"	"regulation of body fluid levels"	"BP"	0.000816783123133842	0.0199910887814781	3	"cameraPR"
"GO:0050879"	"Up"	"multicellular organismal movement"	"BP"	0.000228594067592343	0.00755112976951187	8	"cameraPR"
"GO:0050881"	"Up"	"musculoskeletal movement"	"BP"	0.000228594067592343	0.00755112976951187	8	"cameraPR"
"GO:0050900"	"Up"	"leukocyte migration"	"BP"	6.90674934131912e-05	0.00318119283958885	2	"cameraPR"
"GO:0050919"	"Up"	"negative chemotaxis"	"BP"	0.000701605117153435	0.016110274462232	1	"cameraPR"
"GO:0050922"	"Up"	"negative regulation of chemotaxis"	"BP"	0.00281977666927927	0.037501685280565	1	"cameraPR"
"GO:0050953"	"Up"	"sensory perception of light stimulus"	"BP"	1.22078722928761e-05	0.00402637824350495	1	"cameraPR"
"GO:0051180"	"Up"	"vitamin transport"	"BP"	0.00133006459475643	0.0368356820593612	1	"cameraPR"
"GO:0051208"	"Up"	"sequestering of calcium ion"	"BP"	0.00158376028643842	0.0355799884508748	2	"cameraPR"
"GO:0051209"	"Up"	"release of sequestered calcium ion into cytosol"	"BP"	0.00409326853683992	0.0479044459730814	1	"cameraPR"
"GO:0051249"	"Up"	"regulation of lymphocyte activation"	"BP"	0.00320234852603833	0.0409088748326305	1	"cameraPR"
"GO:0051250"	"Up"	"negative regulation of lymphocyte activation"	"BP"	3.24331846529381e-05	0.00213941079856108	1	"cameraPR"
"GO:0051272"	"Up"	"positive regulation of cellular component movement"	"BP"	0.000761648508489023	0.0172703799299886	1	"cameraPR"
"GO:0051282"	"Up"	"regulation of sequestering of calcium ion"	"BP"	0.00158376028643842	0.0355799884508748	2	"cameraPR"
"GO:0051283"	"Up"	"negative regulation of sequestering of calcium ion"	"BP"	0.00158376028643842	0.0355799884508748	2	"cameraPR"
"GO:0051321"	"Up"	"meiotic cell cycle"	"BP"	0.000181366391705578	0.00855461766206428	2	"cameraPR"
"GO:0051346"	"Up"	"negative regulation of hydrolase activity"	"BP"	0.000300253076138963	0.0245041018570812	4	"cameraPR"
"GO:0051704"	"Up"	"multi-organism process"	"BP"	7.30034252827603e-05	0.00616421714484441	3	"cameraPR"
"GO:0051707"	"Up"	"response to other organism"	"BP"	0.000460098297361443	0.015505629496834	4	"cameraPR"
"GO:0051923"	"Up"	"sulfation"	"BP"	0.00311993774782294	0.0400364598165057	1	"cameraPR"
"GO:0052547"	"Up"	"regulation of peptidase activity"	"BP"	4.83153323639878e-05	0.00330732124182165	1	"cameraPR"
"GO:0052548"	"Up"	"regulation of endopeptidase activity"	"BP"	0.000564869340761736	0.0197052496950344	1	"cameraPR"
"GO:0055088"	"Up"	"lipid homeostasis"	"BP"	0.00048058471636696	0.017611730817973	1	"cameraPR"
"GO:0055092"	"Up"	"sterol homeostasis"	"BP"	0.000110120833799728	0.00596296097052855	1	"cameraPR"
"GO:0060048"	"Up"	"cardiac muscle contraction"	"BP"	0.00044945486390214	0.0129492840843509	9	"cameraPR"
"GO:0060293"	"Up"	"germ plasm"	"CC"	0.000370631697921499	0.0187363288823635	3	"cameraPR"
"GO:0060326"	"Up"	"cell chemotaxis"	"BP"	2.94561768643582e-05	0.00191305150650554	2	"cameraPR"
"GO:0060401"	"Up"	"cytosolic calcium ion transport"	"BP"	0.0025523322557358	0.0464119680302594	2	"cameraPR"
"GO:0060402"	"Up"	"calcium ion transport into cytosol"	"BP"	0.00222286503256172	0.0333040351142518	1	"cameraPR"
"GO:0060969"	"Up"	"negative regulation of gene silencing"	"BP"	0.00165790385479526	0.0379245075393541	3	"cameraPR"
"GO:0061041"	"Up"	"regulation of wound healing"	"BP"	0.000192787398329781	0.0241183683151877	1	"cameraPR"
"GO:0061134"	"Up"	"peptidase regulator activity"	"MF"	0.000165550037267348	0.00733698996128583	10	"cameraPR"
"GO:0061135"	"Up"	"endopeptidase regulator activity"	"MF"	0.000116126409597523	0.00558718430917036	10	"cameraPR"
"GO:0062023"	"Up"	"collagen-containing extracellular matrix"	"CC"	0.000339529397594757	0.0132911718625136	4	"cameraPR"
"GO:0070098"	"Up"	"chemokine-mediated signaling pathway"	"BP"	0.000377846692438608	0.0180841256319743	7	"cameraPR"
"GO:0070160"	"Up"	"tight junction"	"CC"	0.0041812026026339	0.0483102007718337	1	"cameraPR"
"GO:0070371"	"Up"	"ERK1 and ERK2 cascade"	"BP"	0.000287396228656825	0.00936361057060678	1	"cameraPR"
"GO:0070372"	"Up"	"regulation of ERK1 and ERK2 cascade"	"BP"	0.000287396228656825	0.00936361057060678	1	"cameraPR"
"GO:0070374"	"Up"	"positive regulation of ERK1 and ERK2 cascade"	"BP"	7.08345202404218e-05	0.00373276714238313	1	"cameraPR"
"GO:0070469"	"Up"	"respirasome"	"CC"	0.000173530900462926	0.0185261421526643	5	"cameraPR"
"GO:0070555"	"Up"	"response to interleukin-1"	"BP"	0.000562904626170634	0.0216749241912691	5	"cameraPR"
"GO:0070661"	"Up"	"leukocyte proliferation"	"BP"	0.000288910544435001	0.0109671640210041	2	"cameraPR"
"GO:0070663"	"Up"	"regulation of leukocyte proliferation"	"BP"	0.000441453518515204	0.015486951717459	2	"cameraPR"
"GO:0070664"	"Up"	"negative regulation of leukocyte proliferation"	"BP"	0.000451180102589417	0.0120358927367236	1	"cameraPR"
"GO:0071216"	"Up"	"cellular response to biotic stimulus"	"BP"	0.00162351815108081	0.0337042831554597	2	"cameraPR"
"GO:0071219"	"Up"	"cellular response to molecule of bacterial origin"	"BP"	0.00231571829720986	0.041967726253053	2	"cameraPR"
"GO:0071222"	"Up"	"cellular response to lipopolysaccharide"	"BP"	0.00283969453737313	0.0375183891652424	1	"cameraPR"
"GO:0071345"	"Up"	"cellular response to cytokine stimulus"	"BP"	0.000291052995478976	0.0125707174714015	1	"cameraPR"
"GO:0071346"	"Up"	"cellular response to interferon-gamma"	"BP"	0.000213154088059754	0.0141720248539365	5	"cameraPR"
"GO:0071347"	"Up"	"cellular response to interleukin-1"	"BP"	0.00124888296635547	0.0285827522287803	3	"cameraPR"
"GO:0071356"	"Up"	"cellular response to tumor necrosis factor"	"BP"	0.00150710759675034	0.0405095350787445	1	"cameraPR"
"GO:0071391"	"Up"	"cellular response to estrogen stimulus"	"BP"	0.000263019321177901	0.0176852604861082	6	"cameraPR"
"GO:0071466"	"Up"	"cellular response to xenobiotic stimulus"	"BP"	0.000104297509163844	0.00591236505072543	1	"cameraPR"
"GO:0071621"	"Up"	"granulocyte chemotaxis"	"BP"	2.80549324931002e-05	0.00168085076498756	2	"cameraPR"
"GO:0071674"	"Up"	"mononuclear cell migration"	"BP"	0.000271144541033989	0.0165080349233891	4	"cameraPR"
"GO:0071855"	"Up"	"neuropeptide receptor binding"	"MF"	0.000349443252471315	0.0452778614273547	1	"cameraPR"
"GO:0072676"	"Up"	"lymphocyte migration"	"BP"	0.00037650348709058	0.0201094304839193	6	"cameraPR"
"GO:0085029"	"Up"	"extracellular matrix assembly"	"BP"	0.000836987414374468	0.0180341358833945	1	"cameraPR"
"GO:0090130"	"Up"	"tissue migration"	"BP"	0.00237770248363921	0.0340960656547157	1	"cameraPR"
"GO:0090257"	"Up"	"regulation of muscle system process"	"BP"	0.000210526218593788	0.0129991961953859	10	"cameraPR"
"GO:0097529"	"Up"	"myeloid leukocyte migration"	"BP"	0.00014940559087857	0.00523412705010691	2	"cameraPR"
"GO:0097530"	"Up"	"granulocyte migration"	"BP"	0.000200113131763054	0.00598178929804187	2	"cameraPR"
"GO:0097553"	"Up"	"calcium ion transmembrane import into cytosol"	"BP"	0.00222286503256172	0.0333040351142518	1	"cameraPR"
"GO:0097746"	"Up"	"blood vessel diameter maintenance"	"BP"	8.33962790967093e-05	0.0189101062851788	1	"cameraPR"
"GO:0098542"	"Up"	"defense response to other organism"	"BP"	0.000170078270733966	0.00735054239695014	2	"cameraPR"
"GO:0098800"	"Up"	"inner mitochondrial membrane protein complex"	"CC"	9.48760992838608e-06	0.00430263110252309	1	"cameraPR"
"GO:0098803"	"Up"	"respiratory chain complex"	"CC"	0.000118708072891144	0.0136689974734324	5	"cameraPR"
"GO:0099094"	"Up"	"ligand-gated cation channel activity"	"MF"	0.000624215129264161	0.0148990295326998	1	"cameraPR"
"GO:0099529"	"Up"	"neurotransmitter receptor activity involved in regulation of postsynaptic membrane potential"	"MF"	0.000740738183298523	0.0308896336667476	1	"cameraPR"
"GO:0140013"	"Up"	"meiotic nuclear division"	"BP"	0.000486499701812348	0.0175268903188289	2	"cameraPR"
"GO:0140326"	"Up"	"ATPase-coupled intramembrane lipid transporter activity"	"MF"	0.00168811056416308	0.0380880481370292	1	"cameraPR"
"GO:0140375"	"Up"	"immune receptor activity"	"MF"	0.000164997186047048	0.00893447449221928	1	"cameraPR"
"GO:1901136"	"Up"	"carbohydrate derivative catabolic process"	"BP"	0.00052002259937005	0.0185345905304464	1	"cameraPR"
"GO:1901605"	"Up"	"alpha-amino acid metabolic process"	"BP"	0.0004981371099041	0.0224394587454583	2	"cameraPR"
"GO:1901606"	"Up"	"alpha-amino acid catabolic process"	"BP"	0.000470716896863421	0.0171770228256396	3	"cameraPR"
"GO:1901615"	"Up"	"organic hydroxy compound metabolic process"	"BP"	0.000526868033666965	0.018558031321784	1	"cameraPR"
"GO:1901617"	"Up"	"organic hydroxy compound biosynthetic process"	"BP"	0.000960480923580788	0.0358943737714024	4	"cameraPR"
"GO:1902652"	"Up"	"secondary alcohol metabolic process"	"BP"	0.000350047350372121	0.011732577420988	4	"cameraPR"
"GO:1902653"	"Up"	"secondary alcohol biosynthetic process"	"BP"	0.000301685341372872	0.0101054337561098	5	"cameraPR"
"GO:1903034"	"Up"	"regulation of response to wounding"	"BP"	1.71409998457177e-06	0.00291455912358587	1	"cameraPR"
"GO:1903037"	"Up"	"regulation of leukocyte cell-cell adhesion"	"BP"	0.000391548588447152	0.0111558072950772	1	"cameraPR"
"GO:1903038"	"Up"	"negative regulation of leukocyte cell-cell adhesion"	"BP"	0.0001166930446393	0.00494898176966793	1	"cameraPR"
"GO:1903046"	"Up"	"meiotic cell cycle process"	"BP"	0.000258469614526271	0.0130061703033565	1	"cameraPR"
"GO:1904315"	"Up"	"transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential"	"MF"	0.000740738183298523	0.0308896336667476	1	"cameraPR"
"GO:1990204"	"Up"	"oxidoreductase complex"	"CC"	5.65286536141094e-05	0.0189101062851788	1	"cameraPR"
"GO:1990266"	"Up"	"neutrophil migration"	"BP"	0.000527379642144767	0.0191428724439379	3	"cameraPR"
"GO:1990868"	"Up"	"response to chemokine"	"BP"	0.000253366373204477	0.0155636894807276	6	"cameraPR"
"GO:1990869"	"Up"	"cellular response to chemokine"	"BP"	0.000253366373204477	0.0155636894807276	6	"cameraPR"
"GO:2000147"	"Up"	"positive regulation of cell motility"	"BP"	0.00101291763763651	0.0203031225930678	1	"cameraPR"
"GO:2000241"	"Up"	"regulation of reproductive process"	"BP"	9.88065449536995e-06	0.00194656399322552	3	"cameraPR"
"GO:2000243"	"Up"	"positive regulation of reproductive process"	"BP"	7.89824777635419e-06	0.00177874593400148	3	"cameraPR"
"GO:0000123"	"Down"	"histone acetyltransferase complex"	"CC"	0.000604999548633795	0.0220230497472222	3	"cameraPR"
"GO:0000151"	"Down"	"ubiquitin ligase complex"	"CC"	0.000519550175964257	0.0295622713542855	1	"cameraPR"
"GO:0000159"	"Down"	"protein phosphatase type 2A complex"	"CC"	0.00115044100174366	0.0302092283225969	2	"cameraPR"
"GO:0000184"	"Down"	"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"	"BP"	0.00400647450020062	0.0471931476841814	1	"cameraPR"
"GO:0000209"	"Down"	"protein polyubiquitination"	"BP"	0.000904420782214529	0.0312498914083268	1	"cameraPR"
"GO:0000245"	"Down"	"spliceosomal complex assembly"	"BP"	0.00116171379724129	0.0301210321755967	3	"cameraPR"
"GO:0000281"	"Down"	"mitotic cytokinesis"	"BP"	8.20823239082221e-05	0.0129475943973491	1	"cameraPR"
"GO:0000313"	"Down"	"organellar ribosome"	"CC"	0.00223985241672477	0.0333040351142518	1	"cameraPR"
"GO:0000314"	"Down"	"organellar small ribosomal subunit"	"CC"	0.00193744936565106	0.0475353449757682	1	"cameraPR"
"GO:0000375"	"Down"	"RNA splicing, via transesterification reactions"	"BP"	0.000295074972715437	0.0114842748888234	7	"cameraPR"
"GO:0000377"	"Down"	"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"	"BP"	0.000295074972715437	0.0114842748888234	7	"cameraPR"
"GO:0000380"	"Down"	"alternative mRNA splicing, via spliceosome"	"BP"	0.000229200386407806	0.0262507282954199	2	"cameraPR"
"GO:0000387"	"Down"	"spliceosomal snRNP assembly"	"BP"	0.00270634763582219	0.0368001034122734	1	"cameraPR"
"GO:0000398"	"Down"	"mRNA splicing, via spliceosome"	"BP"	0.000295074972715437	0.0114842748888234	7	"cameraPR"
"GO:0000428"	"Down"	"DNA-directed RNA polymerase complex"	"CC"	0.00167796997113673	0.0342587972205326	2	"cameraPR"
"GO:0000502"	"Down"	"proteasome complex"	"CC"	4.33864786245489e-05	0.00414913778310784	2	"cameraPR"
"GO:0000775"	"Down"	"chromosome, centromeric region"	"CC"	0.000193878321272084	0.0137342939767812	1	"cameraPR"
"GO:0000776"	"Down"	"kinetochore"	"CC"	0.00124260212808507	0.0421323413148844	1	"cameraPR"
"GO:0000785"	"Down"	"chromatin"	"CC"	0.00106432344633161	0.029252768661296	1	"cameraPR"
"GO:0000819"	"Down"	"sister chromatid segregation"	"BP"	0.00103007119716782	0.0387087873774287	1	"cameraPR"
"GO:0000910"	"Down"	"cytokinesis"	"BP"	0.000457182485585541	0.0460738349362317	1	"cameraPR"
"GO:0000932"	"Down"	"P-body"	"CC"	0.00247054299923887	0.049590990062365	1	"cameraPR"
"GO:0000956"	"Down"	"nuclear-transcribed mRNA catabolic process"	"BP"	0.000541359637557195	0.0138731820018311	1	"cameraPR"
"GO:0001510"	"Down"	"RNA methylation"	"BP"	0.000113967016964289	0.00494898176966793	1	"cameraPR"
"GO:0003712"	"Down"	"transcription coregulator activity"	"MF"	0.0013583030803056	0.0244132247029628	1	"cameraPR"
"GO:0003713"	"Down"	"transcription coactivator activity"	"MF"	0.000148087803461614	0.00603665787594084	1	"cameraPR"
"GO:0003724"	"Down"	"RNA helicase activity"	"MF"	0.00352661662825151	0.0436674577723429	1	"cameraPR"
"GO:0003735"	"Down"	"structural constituent of ribosome"	"MF"	0.00192074227952045	0.0306980307933929	1	"cameraPR"
"GO:0004402"	"Down"	"histone acetyltransferase activity"	"MF"	0.00150135369239854	0.0499716623488249	1	"cameraPR"
"GO:0005048"	"Down"	"signal sequence binding"	"MF"	0.00227737067879441	0.0336199682420194	1	"cameraPR"
"GO:0005212"	"Down"	"structural constituent of eye lens"	"MF"	0.00062105854174924	0.0239702169092153	1	"cameraPR"
"GO:0005654"	"Down"	"nucleoplasm"	"CC"	0.000419244298936897	0.0206032207210884	3	"cameraPR"
"GO:0005681"	"Down"	"spliceosomal complex"	"CC"	1.90699891955542e-05	0.00199623400321641	5	"cameraPR"
"GO:0005684"	"Down"	"U2-type spliceosomal complex"	"CC"	9.34673764107823e-05	0.00731426552678015	5	"cameraPR"
"GO:0005694"	"Down"	"chromosome"	"CC"	0.00123282728837298	0.0421323413148844	1	"cameraPR"
"GO:0005761"	"Down"	"mitochondrial ribosome"	"CC"	0.00223985241672477	0.0333040351142518	1	"cameraPR"
"GO:0005763"	"Down"	"mitochondrial small ribosomal subunit"	"CC"	0.00193744936565106	0.0475353449757682	1	"cameraPR"
"GO:0005765"	"Down"	"lysosomal membrane"	"CC"	0.00138785394176492	0.0457739463702102	1	"cameraPR"
"GO:0005770"	"Down"	"late endosome"	"CC"	0.000248485409610622	0.0161162209235719	3	"cameraPR"
"GO:0005798"	"Down"	"Golgi-associated vesicle"	"CC"	0.00157006760566328	0.04166096948487	1	"cameraPR"
"GO:0005815"	"Down"	"microtubule organizing center"	"CC"	0.00413780786087567	0.0482699900940738	1	"cameraPR"
"GO:0005838"	"Down"	"proteasome regulatory particle"	"CC"	0.000566979871621012	0.0227512551538441	3	"cameraPR"
"GO:0005839"	"Down"	"proteasome core complex"	"CC"	8.09534330743111e-05	0.0172764150113883	1	"cameraPR"
"GO:0005840"	"Down"	"ribosome"	"CC"	0.000605452025898745	0.014643866333071	1	"cameraPR"
"GO:0005849"	"Down"	"mRNA cleavage factor complex"	"CC"	0.000411766672514819	0.0144454805463097	2	"cameraPR"
"GO:0006303"	"Down"	"double-strand break repair via nonhomologous end joining"	"BP"	0.00204039129409804	0.0321849548477726	1	"cameraPR"
"GO:0006325"	"Down"	"chromatin organization"	"BP"	0.000347702375305292	0.0116003808711293	2	"cameraPR"
"GO:0006338"	"Down"	"chromatin remodeling"	"BP"	0.00067713144600736	0.0185769159176906	2	"cameraPR"
"GO:0006352"	"Down"	"DNA-templated transcription, initiation"	"BP"	0.000921046944803438	0.0200429175332511	3	"cameraPR"
"GO:0006364"	"Down"	"rRNA processing"	"BP"	0.00189115035974473	0.0377847795577075	3	"cameraPR"
