"Species"	"Bias"	"Tissue"	"Sex"	".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"	"Mean_MeanVarRank_Foreground"	"SD_MeanVarRank_Foreground"	"Mean_MeanVarRank_Other"	"SD_MeanVarRank_Other"	"DiffMeans_MeanVarRank"	"GlassDelta"
"Danio_rerio"	"eye"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	5.45339851975937e-07	1e-06	"5.5e-07"	"****"	"Wilcoxon"	0.455372460496614	0.271207789175533	0.524835429796879	0.282184787171929	-0.0694629693002651	-0.246161283166349
"Danio_rerio"	"eye"	"liver"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	4.35093385828159e-05	7e-05	"4.4e-05"	"****"	"Wilcoxon"	0.438867306275534	0.261419770057437	0.515459201458361	0.281507905642521	-0.076591895182827	-0.27207724418258
"Danio_rerio"	"eye"	"liver"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	5.50295371555659e-08	1.1e-07	"5.5e-08"	"****"	"Wilcoxon"	0.442391491186089	0.27346487639369	0.520793287339915	0.278641076172459	-0.078401796153826	-0.281371997376656
"Danio_rerio"	"eye"	"gills"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	0.0236086350557072	0.031	"0.02361"	"*"	"Wilcoxon"	0.488987114845938	0.257323114529728	0.515930187586413	0.267781722828867	-0.0269430727404747	-0.100615801765132
"Danio_rerio"	"eye"	"gills"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	0.12312032045062	0.15	"0.12312"	"ns"	"Wilcoxon"	0.489458121790383	0.266412731631352	0.508152290435183	0.276302215556161	-0.0186941686447999	-0.0676584102200228
"Danio_rerio"	"eye"	"pectoral_fin"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	3.9626922834587e-10	1e-09	"4.0e-10"	"****"	"Wilcoxon"	0.451498854128215	0.264562075309915	0.5299906618752	0.278576590079286	-0.0784918077469856	-0.281760243115353
"Danio_rerio"	"eye"	"pectoral_fin"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	0.223169698321324	0.26	"0.22317"	"ns"	"Wilcoxon"	0.503542680667681	0.272694259951722	0.519058374923025	0.282391325789969	-0.0155156942553439	-0.054943947771554
"Danio_rerio"	"eye"	"ovary"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	4.5469827529884e-06	8e-06	"4.5e-06"	"****"	"Wilcoxon"	0.436567434912505	0.269228737649601	0.500572865684518	0.277236822691557	-0.0640054307720123	-0.23086915421485
"Danio_rerio"	"eye"	"ovary"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"eye"	"testis"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"eye"	"testis"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"eye"	0.876917717240553	0.88	"0.87692"	"ns"	"Wilcoxon"	0.506092722553355	0.270058331164149	0.504630165855477	0.275710625532801	0.00146255669787854	0.00530468020611175
"Danio_rerio"	"gills"	"brain"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	0.681590032678208	0.72	"0.68159"	"ns"	"Wilcoxon"	0.50021862829647	0.292746252405883	0.505049580183222	0.283557330813954	-0.00483095188675176	-0.0170369493635889
"Danio_rerio"	"gills"	"brain"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	0.394517497545704	0.43	"0.39452"	"ns"	"Wilcoxon"	0.477046895080228	0.273064033044889	0.487190003510987	0.274869543363307	-0.0101431084307584	-0.0369015362948082
"Danio_rerio"	"gills"	"eye"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	1.46995824203043e-07	2.9e-07	"1.5e-07"	"****"	"Wilcoxon"	0.574054602765241	0.270218399003033	0.516192024728205	0.278870300521328	0.0578625780370362	0.207489208886232
"Danio_rerio"	"gills"	"eye"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	1.9937956216737e-10	5.3e-10	"2.0e-10"	"****"	"Wilcoxon"	0.577929804585086	0.275260523251192	0.50815242491529	0.280032943732776	0.0697773796697959	0.249175610339552
"Danio_rerio"	"gills"	"intestine"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	9.13471663875605e-05	0.00014	"9.1e-05"	"****"	"Wilcoxon"	0.495380054623205	0.268712117243632	0.538982720896184	0.281725083467573	-0.0436026662729785	-0.154770266588623
"Danio_rerio"	"gills"	"intestine"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	3.17559668576515e-09	7.6e-09	"3.2e-09"	"****"	"Wilcoxon"	0.582879770688729	0.272051059547445	0.514230882236287	0.282235729394707	0.0686488884524425	0.243232451821991
"Danio_rerio"	"gills"	"liver"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	0.149395649637892	0.18	"0.14940"	"ns"	"Wilcoxon"	0.483937731790536	0.264313412640262	0.512284504923595	0.281787931560308	-0.0283467731330593	-0.100596121970513
"Danio_rerio"	"gills"	"liver"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	0.0764908161133156	0.096	"0.07649"	"ns"	"Wilcoxon"	0.493553760602541	0.278306745899925	0.517614710674817	0.278942720553794	-0.0240609500722755	-0.0862576733477988
"Danio_rerio"	"gills"	"gills"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"gills"	"gills"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"gills"	"pectoral_fin"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	3.24559791104082e-13	1.1e-12	"3.2e-13"	"****"	"Wilcoxon"	0.59176352485101	0.275510618585225	0.51768886537331	0.277702765333617	0.0740746594776999	0.266740806087079
"Danio_rerio"	"gills"	"pectoral_fin"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	2.42547444520291e-19	9.9e-19	"< 2e-16"	"****"	"Wilcoxon"	0.601105122132296	0.282670546559013	0.508982534563138	0.280239359106814	0.092122587569158	0.3287282266944
"Danio_rerio"	"gills"	"ovary"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	0.285726262747401	0.32	"0.28573"	"ns"	"Wilcoxon"	0.481838539334229	0.27868417437688	0.49672170466382	0.277003954787011	-0.0148831653295913	-0.0537290716337786
"Danio_rerio"	"gills"	"ovary"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"gills"	"testis"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"gills"	"testis"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"gills"	0.449598241034801	0.49	"0.44960"	"ns"	"Wilcoxon"	0.512120134103185	0.27204880989151	0.504092524348151	0.275543845376312	0.0080276097550338	0.029133692839593
"Danio_rerio"	"intestine"	"brain"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	8.75057094464566e-06	1.5e-05	"8.8e-06"	"****"	"Wilcoxon"	0.551060283456301	0.286992440005934	0.500396867897686	0.283630015509176	0.0506634155586153	0.178625014237875
"Danio_rerio"	"intestine"	"brain"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	0.0374215689678349	0.048	"0.03742"	"*"	"Wilcoxon"	0.507273212438499	0.272825543872442	0.484460687765964	0.274844868402919	0.0228125246725346	0.0830014575316418
"Danio_rerio"	"intestine"	"eye"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	0.00372473012852806	0.0052	"0.00372"	"**"	"Wilcoxon"	0.550199024266332	0.277749839015714	0.518395810571544	0.278562922329938	0.031803213694788	0.114168868666302
"Danio_rerio"	"intestine"	"eye"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	1.75268149780361e-10	4.8e-10	"1.8e-10"	"****"	"Wilcoxon"	0.578598818245814	0.274508557912872	0.508188606677568	0.28008623229954	0.070410211568246	0.251387620841518
"Danio_rerio"	"intestine"	"intestine"	"F"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"intestine"	"intestine"	"M"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Danio_rerio"	"intestine"	"liver"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	3.56834468424044e-09	8.3e-09	"3.6e-09"	"****"	"Wilcoxon"	0.581773667202465	0.283485893586186	0.500582112973202	0.279080369009781	0.0811915542292626	0.290925350705757
"Danio_rerio"	"intestine"	"liver"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	2.22834277551775e-42	2.4e-41	"< 2e-16"	"****"	"Wilcoxon"	0.648952314722829	0.275676157043675	0.499091975665471	0.274827742913895	0.149860339057358	0.545288250263402
"Danio_rerio"	"intestine"	"gills"	"F"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	2.81973124063295e-19	1.1e-18	"< 2e-16"	"****"	"Wilcoxon"	0.59635782937028	0.25740361573525	0.505770948065416	0.266776906966779	0.0905868813048645	0.339560430229236
"Danio_rerio"	"intestine"	"gills"	"M"	"Mean_Local_Rank_Log2CV"	"other"	"intestine"	4.74763906680415e-29	2.9e-28	"< 2e-16"	"****"	"Wilcoxon"	0.611587602592659	0.2661068714455	0.49618728527658	0.274431667428804	0.115400317316079	0.420506563244992
