Gene_id	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSELUG00000000003	1610	143	1122	748	412	379	28	0	0	2	2	0	998	488	24	89	364	2454	87	0	0	3	0	0	1364	1570	4693	318	902	381	1179	0	0	2	0	0	224	2084	614	466	36	322	24	0	0	0	0	1	242	21	1165	4325	2605	33	0	0	0	0	0	0	1281	184	96	466	257	418	0	0	0	0	0	0	816	205	592	55	31	26	0	0	0	1	0	0	355	9657	3236	2403	489	614	0	0	0	0	0	0
ENSELUG00000000004	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000005	147630	9412	75136	56482	22176	39740	1827	2	0	2	5	1	64081	44658	2216	4975	27163	47745	2326	0	0	21	1	2	153987	25557	234029	15855	89992	27743	84109	0	0	4	0	0	14973	113978	24197	43447	2143	7311	1283	0	0	3	1	2	11991	1342	168101	117937	136531	1330	0	0	0	2	0	1	93370	14351	7376	31626	21793	25867	0	0	0	0	0	1	23250	18131	44637	2793	1296	1548	0	0	0	231	5	3	49267	130674	111971	170324	48107	39531	0	0	0	6	0	0
ENSELUG00000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	6044	524	2312	982	326	717	52	0	0	0	0	0	4287	1069	82	165	761	2526	114	0	0	0	0	0	1177	1726	7231	649	3430	688	2679	0	0	0	0	0	550	2252	786	697	64	509	51	0	0	0	0	0	583	51	1984	3597	3966	40	0	0	0	0	0	0	3188	2246	388	544	412	865	0	0	0	1	0	0	2689	334	1382	84	36	42	0	0	0	4	0	0	542	11966	3816	4986	803	1652	0	0	0	0	0	0
ENSELUG00000000008	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSELUG00000000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	7682	435	1620	791	244	580	33	0	0	0	0	0	3722	1059	45	100	749	1667	103	0	0	1	0	0	1848	958	8551	639	2745	564	2720	0	0	0	0	0	463	1450	626	676	39	187	26	0	0	0	1	0	623	29	2523	3274	3554	28	0	0	0	0	0	0	4691	1264	273	633	373	677	0	0	0	0	0	0	2344	179	1178	42	28	35	0	0	0	5	0	0	883	9482	2754	6882	1010	759	0	0	0	0	0	0
ENSELUG00000000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
