Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000003	0	1463	1085	1546	0	0	7332	1050	0	0	0	0	1003	2512	1789	1142	1973	0	721	8261	657	0	0	2	0	2126	2	1	2116	372	0	0	0	3	2145	223	3113	1091	4557	1409	2120	369	0	1	1	0	0	3	1	1476	159	8583	0	461	4670	627	242	0	0	4	2341	2282	1948	3428	710	0	4	1	642	552	0	1	1776	0	387	0	0	1190	0	1278	518	1043	2571	0	1604	1168	0	0	931	753	2	0	922	35	0	4041
ENSELUG00000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000005	0	63829	52789	75743	0	81	543916	47107	0	0	0	0	19440	40410	84415	16876	75028	0	28660	125248	36053	0	1	3	3	49736	0	4	62627	10763	3	0	2	3	55007	7916	106638	45321	107770	53803	66347	29624	0	0	22	0	0	10	29	105029	7242	175507	1	29526	158622	40364	11032	0	0	3	121193	111917	111653	52636	47330	0	135	4	55312	17390	3	2	81378	1	19331	0	0	33789	6	52303	31473	30608	100654	5	25756	67528	2	0	40340	49184	8	0	60004	2087	4	156439
ENSELUG00000000006	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	0	1143	1068	2155	1	3	11377	901	0	0	0	0	530	2008	909	410	2674	1	859	4445	830	0	0	0	0	1561	0	0	2017	219	0	0	0	0	1881	304	3792	1244	3524	1812	1962	1097	0	0	0	0	0	0	1	1304	185	5440	0	678	4331	732	315	0	0	0	3994	2939	2503	2246	573	0	2	0	1642	447	0	0	2891	0	815	0	0	1092	0	1009	814	916	3400	0	635	1860	0	0	839	1663	0	0	1988	50	0	4420
ENSELUG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSELUG00000000009	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	0	1131	1044	2176	0	0	12787	689	0	0	0	0	460	1997	1433	311	1429	0	506	3974	993	0	0	0	0	1455	0	0	1834	139	0	0	0	0	1768	348	4890	1224	2167	1625	1808	687	0	0	1	0	0	0	3	1195	112	5521	0	761	5728	758	212	0	0	0	3947	2320	2136	1707	1020	0	3	0	1333	439	0	0	2775	0	610	0	0	1248	0	686	761	835	3583	0	477	1640	2	0	617	1460	1	0	1649	36	2	4264
