Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSLOCG00000013771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSLOCG00000013772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	20	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013773	0	0	3	7	0	26	2	0	0	0	0	0	1	0	0	1	2	254	0	0	1	0	0	305	18	0	22	10	3	1	81	0	25	681	3	0	1	2	0	0	0	0	0	13	57	0	0	44	1062	4	6	0	0	0	0	3	2	0	0	36	1	0	2	0	0	0	127	113	3	4	516	135	5	8	0	0	0	0	159	2	3	1	3	18	0	0	16	0	8	1	74	0	0	5	20	0
ENSLOCG00000013774	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013775	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013777	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSLOCG00000013778	0	0	0	0	0	25	0	1	0	0	0	0	0	0	2	0	0	17	1	0	0	0	0	15	7	0	12	6	0	0	20	0	26	5	0	0	0	0	0	0	0	0	0	6	35	0	0	38	13	0	0	0	0	0	0	0	0	0	0	35	0	0	1	0	0	0	36	9	0	0	4	11	0	4	0	0	0	0	21	0	1	0	1	13	0	0	8	0	0	0	71	0	0	0	16	0
ENSLOCG00000013779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013780	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSLOCG00000013782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013783	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	13	4	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013784	0	1	2	2	0	15	0	2	0	0	0	0	3	0	1	1	2	201	1	1	0	0	0	362	11	0	144	126	0	0	362	0	14	4	1	0	0	0	0	0	0	0	0	71	849	0	0	105	30	2	1	0	0	0	0	0	0	0	0	50	1	0	1	0	0	0	426	36	0	0	8	69	0	7	0	0	0	0	140	0	0	0	0	203	0	0	5	0	2	0	27	0	0	1	112	0
ENSLOCG00000013785	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	0	0	44	8	0	12	9	0	0	16	0	22	3	0	0	0	1	0	0	1	0	0	6	70	0	0	141	37	0	0	0	0	0	0	0	0	0	0	81	1	0	1	0	0	0	20	21	0	0	5	27	1	6	0	0	0	0	27	0	0	0	0	10	0	0	14	0	1	0	118	0	0	0	32	0
ENSLOCG00000013786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013788	0	0	2	0	0	36	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	98	20	0	17	13	0	0	49	0	65	28	1	0	0	0	0	0	0	0	0	14	112	0	0	138	105	1	0	0	0	0	0	0	0	0	0	82	0	0	1	0	0	0	47	45	0	0	22	38	1	4	0	0	0	0	58	0	0	0	2	16	0	1	7	0	1	0	129	0	0	0	42	0
ENSLOCG00000013789	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	7	0	0	2	1	0	0	3	0	3	1	0	0	0	0	0	0	0	0	0	4	12	0	0	26	7	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	7	3	1	0	0	3	0	2	0	0	0	0	4	0	0	0	0	3	0	0	0	0	0	0	8	0	0	0	11	0
ENSLOCG00000013790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013791	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	2	5	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	9	0	0	46	20	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	7	6	1	0	0	2	0	5	0	0	0	0	22	0	0	0	0	0	0	0	3	0	2	0	4	0	0	1	1	0
ENSLOCG00000013792	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	10	9	0	8	6	0	0	11	0	7	1	0	0	0	0	0	0	0	0	0	7	39	0	0	36	22	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	5	9	0	0	0	15	0	4	0	0	0	0	23	0	0	0	0	5	0	0	3	0	0	0	5	0	0	1	9	0
ENSLOCG00000013793	0	0	0	1	0	25	0	4	0	0	0	0	1	1	0	0	1	35	1	0	2	0	0	2826	11	0	18	11	1	0	21	0	28	9	3	0	1	3	0	0	1	0	0	19	49	0	0	37	2519	2	3	0	0	0	0	1	1	0	0	28	1	1	5	1	0	0	31	29	2	1	32	883	5	11	0	0	0	0	65	2	1	0	3	19	0	0	13	0	6	0	51	0	1	3	17	1
ENSLOCG00000013794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013795	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	4	0	1	5	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	2	7	0	0	11	4	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	8	2	0	0	0	4	0	0	0	0	0	0	5	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	5	0
ENSLOCG00000013796	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	0	32	16	0	9	1	0	0	8	0	8	3	0	0	0	0	0	0	0	0	0	10	80	0	0	6	647	0	1	0	0	0	0	0	2	0	0	6	0	0	1	0	0	0	10	2	0	0	6	16	1	5	0	0	0	0	10	2	0	0	0	2	0	0	5	0	1	0	17	0	0	0	10	0
ENSLOCG00000013797	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	5	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0
ENSLOCG00000013798	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	66	0	0	1	0	0	190	69	0	59	46	1	1	106	0	117	36	0	0	1	1	0	0	0	0	0	52	179	0	0	94	115	0	2	0	0	0	0	0	0	0	0	76	1	1	3	1	0	0	87	43	0	1	33	93	0	24	0	0	0	0	77	2	0	0	0	53	0	0	41	0	2	0	675	0	0	0	161	1
ENSLOCG00000013799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013800	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	7	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSLOCG00000013801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	2	0	1	5	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	3	6	0	0	4	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	2	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0
