Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSELUG00000000003	0	476	1376	1163	0	0	765	1546	0	0	0	0	3454	682	6818	12281	1434	0	142	4561	548	0	0	0	0	359	0	0	99	5179	0	0	0	0	166	1991	3325	121	685	827	569	932	0	0	0	0	0	1	2	1923	1324	7987	0	241	2115	223	971	0	0	1	1380	438	292	3031	1761	0	0	0	1070	49	0	0	1800	0	418	0	0	337	0	2243	600	31	2970	0	9179	1431	0	0	557	653	0	0	1173	212	0	979
ENSELUG00000000004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1
ENSELUG00000000005	0	50385	114228	14293	0	13	40630	81000	0	0	0	0	98911	42423	184531	268858	76089	0	3327	333681	19197	0	0	3	0	35545	1	1	4893	131745	4	0	4	1	8804	84870	199725	4676	58173	8299	41261	59575	0	2	6	2	1	5	21	118319	80235	329454	0	16829	140283	19610	50814	0	0	1	87952	10211	12670	215573	61841	0	8	0	74343	1264	2	0	84121	2	30608	0	0	10644	3	114588	64582	1877	142489	1	223815	87309	1	0	27923	44607	5	0	64108	20021	2	78851
ENSELUG00000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	0	440	3170	672	0	3	1537	1897	0	0	0	0	3326	1749	4646	14643	1816	0	183	4325	767	0	0	0	0	669	0	0	120	4017	0	0	0	0	236	2852	5535	134	2776	395	949	1470	0	0	1	0	0	0	0	2472	1778	12688	0	389	5202	431	996	0	0	0	2501	1010	486	5520	1666	0	1	0	1760	44	0	0	3700	0	1188	0	0	675	0	2872	1283	42	3610	0	10872	3326	0	0	1112	903	0	0	1725	817	0	4085
ENSELUG00000000008	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	0	441	3035	649	0	0	1165	932	0	0	0	0	2921	1295	3618	13210	1065	0	130	4886	580	0	0	0	0	783	0	0	106	2665	0	0	0	0	136	2531	4686	97	1521	287	738	748	0	0	1	0	0	0	0	1406	1502	15868	0	371	3700	415	1042	0	0	0	2059	678	371	4388	1424	0	0	0	1417	24	0	0	2512	1	1165	0	0	575	0	1662	1178	37	3201	0	9199	2510	0	0	507	757	0	0	1532	694	2	2162
