Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000006156	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006157	0	1	7	0	0	0	0	0	0	0	0	0	5	0	0	1	2	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	5	2	0	0	0	8	1	0	0	0	5	0	0	9	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	18	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006159	0	7	19	10	0	0	1	4	0	0	0	0	1	0	0	0	2	0	2	9	1	0	0	0	0	0	0	0	4	0	0	0	0	0	12	0	0	4	0	1	0	3	0	0	0	0	0	0	0	6	0	10	0	0	0	32	1	0	0	0	12	0	10	1	1	0	0	0	5	1	0	0	12	0	2	0	0	0	0	18	12	42	0	0	0	0	0	0	7	0	0	0	0	15	0	3
ENSELUG00000006161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006162	0	32	24	65	0	0	3	21	0	0	0	0	25	1	14	9	3	0	10	5	26	0	0	0	0	1	0	0	7	25	0	0	0	0	23	1	5	26	2	0	4	11	0	0	0	0	0	0	0	107	18	2	0	4	0	12	13	0	0	0	27	8	52	2	1	0	0	0	19	26	0	0	78	0	5	0	0	0	1	19	37	36	11	0	1	0	0	0	43	4	0	0	0	90	0	1
ENSELUG00000006163	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSELUG00000006164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000006165	0	0	1	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	1	0	0	0	1	7	0	0	1	0	0	0	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSELUG00000006166	0	5	13	8	0	0	1	12	0	0	0	0	6	0	5	0	21	0	11	4	11	0	0	0	0	0	0	0	38	8	0	0	0	0	36	0	0	9	2	0	2	13	0	0	0	0	0	1	0	29	57	3	0	1	0	15	11	0	0	0	10	12	24	1	2	0	0	0	10	10	0	0	23	0	7	0	0	0	0	9	14	6	15	0	0	0	0	0	9	2	0	0	0	12	0	6
