Gene_id	A01	A02	A03	A04	A05	A06	A07	A08	A09	A10	A11	A12	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	C01	C02	C03	C04	C05	C06	C07	C08	C09	C10	C11	C12	D01	D02	D03	D04	D05	D06	D07	D08	D09	D10	D11	D12	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	F01	F02	F03	F04	F05	F06	F07	F08	F09	F10	F11	F12	G01	G02	G03	G04	G05	G06	G07	G08	G09	G10	G11	G12	H01	H02	H03	H04	H05	H06	H07	H08	H09	H10	H11	H12
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000003	1470	474	642	877	494	1621	1840	0	0	0	0	0	355	1126	350	231	942	44	10173	0	0	2	0	0	140	4326	5584	6593	292	809	1211	0	0	1	0	0	181	769	798	1484	190	1171	279	0	0	0	0	0	195	466	84	111	2889	1636	0	0	0	0	0	0	1105	2455	581	1711	442	969	0	0	0	0	0	0	538	1274	1150	2470	397	679	0	0	0	0	1	0	30	134	7590	2805	3621	549	0	0	0	0	0	0
ENSELUG00000000004	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSELUG00000000005	50928	33804	33604	60042	52543	94832	92434	1	0	6	11	0	25268	92096	8482	10561	12017	1134	207840	0	0	19	2	3	7745	102827	139478	245264	29062	63813	70701	0	0	5	4	4	16461	48555	41515	67755	16008	61265	8834	0	0	2	2	0	13939	23042	4420	4131	79479	68234	0	0	0	1	1	0	65026	168203	34804	111994	15872	51787	1	0	0	0	1	1	36409	65333	71548	113240	41120	6916	0	0	0	8	1	5	1674	3054	175110	156323	245573	47676	0	0	0	3	1	1
ENSELUG00000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	1415	802	1273	1477	1064	2087	2380	0	0	1	3	0	988	2641	829	397	566	40	12115	0	0	0	0	0	207	3328	3852	10467	558	3444	2777	0	0	0	0	0	674	1227	849	3073	364	1525	567	0	0	0	0	0	339	939	104	118	2777	2350	0	0	0	0	0	0	1501	4673	1474	4332	628	1417	0	0	0	0	0	0	736	1565	2068	3020	368	323	0	0	0	1	0	0	36	167	8952	4617	3612	2346	0	0	0	0	0	0
ENSELUG00000000008	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSELUG00000000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	1196	606	977	1173	985	1163	1367	0	0	1	0	0	974	2563	548	316	550	20	10935	0	0	0	0	0	121	2207	3092	12999	656	1812	2057	0	0	0	0	0	565	633	859	2120	350	892	483	0	0	1	2	0	310	433	93	91	2447	2078	0	0	0	0	0	0	1261	3649	1079	3117	484	1260	0	0	0	0	0	0	625	769	1733	2659	359	248	0	0	0	0	0	0	32	126	7643	3926	4062	1271	0	0	0	0	0	0
