Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000003	0	34	585	445	0	2	1331	247	0	0	0	0	3057	111	5648	90	376	0	11552	570	300	0	0	0	0	1060	0	0	1404	1892	0	0	0	0	1611	35	2854	5080	737	30	168	2522	0	0	2	0	0	2	4	452	1545	363	0	276	558	44	724	0	0	0	678	28	91	207	1913	0	1	0	886	2903	0	1	568	0	1183	0	0	27	0	30	530	430	58	0	3887	1403	0	0	24	979	0	0	497	264	0	438
ENSELUG00000000004	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000005	0	1449	53546	32350	0	6	90904	21513	0	0	0	0	170963	8732	320536	2364	8534	1	161893	57791	25996	0	0	6	1	112016	0	2	208225	30670	0	0	0	1	199420	1454	213986	147168	47587	1747	11071	141768	0	0	2	0	2	5	23	47636	114504	18390	0	14324	37881	2475	28858	0	0	5	53692	2542	5780	16698	182692	0	272	0	68806	57756	1	2	52333	3	77151	0	0	1505	2	2002	26604	59946	3049	0	137728	102697	0	0	1542	27860	3	0	30955	17654	1	32994
ENSELUG00000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	0	43	1275	891	0	0	2755	392	0	0	0	0	4709	451	8618	117	597	0	14218	951	473	0	0	0	0	4041	0	0	2321	2032	0	0	0	0	1382	43	5928	4242	1955	46	628	2688	0	0	0	0	0	0	0	836	3797	737	0	699	631	69	915	0	0	0	1646	88	194	2622	7146	0	5	1	1173	3014	0	0	831	0	5105	0	0	60	0	58	387	651	87	0	4518	3150	0	0	56	3214	0	0	1021	646	0	816
ENSELUG00000000008	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	0	30	1249	879	0	0	1923	207	0	0	0	0	4264	330	10114	106	208	0	11247	1178	428	0	0	0	0	3269	0	0	3000	1126	0	0	0	0	2231	29	8168	3885	887	41	523	1696	0	0	0	0	0	0	1	677	5547	732	0	765	761	46	727	0	0	0	1378	50	111	1466	9159	0	6	0	953	2016	0	0	818	0	4442	0	0	28	0	37	283	1036	46	0	3285	3199	0	0	36	2805	0	0	808	538	1	645
