Gene_id	H07	G05	B02	B05	E07	A11	A03	G02	F09	E09	B09	D08	E05	F03	C03	B07	D06	A12	H02	H05	F05	F08	H09	H10	E12	C05	E11	E10	E03	C02	C12	E08	C11	F12	C01	E06	H04	E04	H06	G06	A02	D02	A09	F11	A10	F07	A08	C10	B10	A06	F01	C04	G07	E01	F04	D05	D03	G09	G08	G11	G03	B03	B04	F02	A01	D09	G10	F10	A04	B06	B11	D12	D04	D10	B01	B08	C09	D07	B12	A07	A05	H01	G04	H12	H03	C07	H11	C08	E02	G01	G12	H08	F06	D01	D11	C06
ENSELUG00000000002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000003	0	519	2210	229	0	5	492	932	0	0	0	0	451	4626	6812	457	150	1	48	2128	1030	0	0	0	0	3186	0	0	49	2443	0	0	1	0	215	6791	15146	100	3318	364	2822	124	0	1	5	0	0	2	2	1607	2019	3687	0	3401	628	1094	578	0	0	2	1168	346	625	3079	2534	0	1	0	74	31	0	0	800	0	809	0	0	591	1	4791	858	38	593	0	1127	796	0	0	151	1007	2	0	762	1126	0	436
ENSELUG00000000004	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000005	0	30644	160345	19955	0	34	77100	86738	0	0	0	0	59260	398943	169772	17630	14065	2	3077	140491	107557	0	0	5	1	299689	1	3	2416	291094	3	0	5	3	10830	177554	435055	6115	200271	23257	308718	9028	1	3	13	0	5	6	37	205206	39442	174258	0	221292	69386	72206	28304	0	0	4	84405	21011	43684	141232	75894	0	15	6	6607	1751	2	2	103291	0	53852	0	0	36323	3	216266	78397	2376	73433	2	231771	95302	2	0	11893	73932	13	0	67068	96182	4	19194
ENSELUG00000000006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000007	0	1381	6217	502	0	1	3772	2126	0	0	0	0	1218	15813	8287	1614	271	0	99	3864	5076	0	0	1	0	9023	0	0	74	2896	0	0	0	0	454	10016	25599	233	5641	765	7629	339	0	0	1	2	0	0	0	4751	2776	6887	0	12944	1596	2775	1470	0	0	0	4265	567	1612	4966	3238	0	0	0	263	50	0	1	3123	0	2452	0	0	1756	0	14046	1765	71	1340	0	2516	6346	1	0	238	2147	0	0	2464	2403	0	1785
ENSELUG00000000008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000010	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000011	0	1328	5136	464	0	2	3245	1283	0	0	0	0	1113	19710	7492	2137	197	0	93	2847	4153	0	0	0	0	12160	0	1	62	2625	0	0	1	0	330	8847	23161	124	4474	604	9382	228	0	1	2	0	0	0	2	4687	2614	6370	0	10920	1784	2283	1240	0	0	2	3387	517	1397	2913	2936	0	1	0	249	28	0	0	2774	0	1706	0	0	1483	0	7869	1622	52	1267	0	3095	4783	0	0	155	1839	1	0	1913	2627	0	1014
ENSELUG00000000012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSELUG00000000013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
